Before, SNR After,Tap,LR,Exec_secs

Before, SNR After,Tap,LR,Exec_secs

-5.279199,NaN,25000,0.570000,51.726687

-5.279199,NaN,25000,0.575000,51.584564

-5.279199,NaN,25000,0.580000,52.053233

-5.279199,NaN,25000,0.585000,51.790162

-5.279199,NaN,25000,0.590000,51.664841

-5.279199,NaN,25000,0.595000,52.192805

-5.279199,NaN,25000,0.600000,52.981592

-5.279199,NaN,25000,0.605000,51.823857

-5.279199,NaN,25000,0.610000,52.447402

-5.279199,NaN,25000,0.615000,52.137972

-5.279199,NaN,25000,0.620000,51.844749

-5.279199,NaN,25000,0.625000,51.435890

-5.279199,NaN,25000,0.630000,51.795025

-5.279199,NaN,25000,0.635000,51.410489

-5.279199,NaN,25000,0.640000,52.915789

-5.279199,NaN,25000,0.645000,51.596752

-5.279199,NaN,25000,0.650000,51.481712

-5.279199,NaN,25000,0.655000,51.410988

-5.279199,NaN,25000,0.660000,52.208173

-5.279199,NaN,25000,0.665000,52.225043

-5.279199,NaN,25000,0.670000,51.758619

-5.279199,NaN,25000,0.675000,51.698440

-5.279199,NaN,25000,0.680000,52.697329

-5.279199,NaN,25000,0.685000,52.432273

-5.279199,NaN,25000,0.690000,51.443965

-5.279199,NaN,25000,0.695000,52.194770

-5.279199,NaN,25000,0.700000,52.913543

-5.279199,NaN,25000,0.705000,52.228124

-5.279199,NaN,25000,0.710000,51.948645

-5.279199,NaN,25000,0.715000,51.764902

-5.279199,NaN,25000,0.720000,51.647693

-5.279199,NaN,25000,0.725000,52.389585

-5.279199,NaN,25000,0.730000,52.288835

-5.279199,NaN,25000,0.735000,51.730288

-5.279199,NaN,25000,0.740000,51.656269

-5.279199,NaN,25000,0.745000,41.778946

-5.279199,NaN,25000,0.750000,41.122545

-5.279199,NaN,25000,0.755000,41.125827

-5.279199,NaN,25000,0.760000,41.098471

-5.279199,NaN,25000,0.765000,41.241090

-5.279199,NaN,25000,0.770000,41.050831

-5.279199,NaN,25000,0.775000,41.016060

-5.279199,NaN,25000,0.780000,41.968955

-5.279199,NaN,25000,0.785000,41.923300

-5.279199,NaN,25000,0.790000,43.661424

-5.279199,NaN,25000,0.795000,42.590222

-5.279199,NaN,25000,0.800000,41.792289

-5.279199,NaN,25000,0.805000,41.343305

-5.279199,NaN,25000,0.810000,41.890311

-5.279199,NaN,25000,0.815000,42.642689

-5.279199,NaN,25000,0.820000,41.984860

-5.279199,NaN,25000,0.825000,42.885351

-5.279199,NaN,25000,0.830000,42.781495

-5.279199,NaN,25000,0.835000,42.470309

-5.279199,NaN,25000,0.840000,44.319710

-5.279199,NaN,25000,0.845000,41.808634

-5.279199,NaN,25000,0.850000,41.072581

-5.279199,NaN,25000,0.855000,41.118509

-5.279199,NaN,25000,0.860000,41.211203

-5.279199,NaN,25000,0.865000,42.121234

-5.279199,NaN,25000,0.870000,42.669057

-5.279199,NaN,25000,0.875000,42.521329

-5.279199,NaN,25000,0.880000,43.145778

-5.279199,NaN,25000,0.885000,42.597451

-5.279199,NaN,25000,0.890000,41.487448

-5.279199,NaN,25000,0.895000,41.161593

-5.279199,NaN,25000,0.900000,40.842634

-5.279199,NaN,25000,0.905000,37.451920

-5.279199,NaN,25000,0.910000,33.125012

-5.279199,NaN,25000,0.915000,32.721027

-5.279199,NaN,25000,0.920000,32.762476

-5.279199,NaN,25000,0.925000,32.986133

-5.279199,NaN,25000,0.930000,32.352427

-5.279199,NaN,25000,0.935000,32.965142

-5.279199,NaN,25000,0.940000,32.746364

-5.279199,NaN,25000,0.945000,32.656283

-5.279199,NaN,25000,0.950000,32.752390

-5.279199,NaN,25000,0.955000,32.784489

-5.279199,NaN,25000,0.960000,32.856148

-5.279199,NaN,25000,0.965000,32.395952

-5.279199,NaN,25000,0.970000,32.618385

-5.279199,NaN,25000,0.975000,32.669506

-5.279199,NaN,25000,0.980000,32.424993

-5.279199,NaN,25000,0.985000,32.790889

-5.279199,NaN,25000,0.990000,32.772834

-5.279199,NaN,25000,0.995000,32.741097

-5.279199,NaN,25000,1.000000,32.412371
